chr position COMBINED_rate(cM/Mb) Genetic_Map(cM)
20 61795 0.3516610754 0
20 63231 0.3500036909 0.0005026053001324
20 63244 0.3494018702 0.000507147524445
20 63799 0.3501262382 0.000701467586646
20 64150 0.3558643956 0.0008263759895016
20 64934 0.3567249058 0.0011060483156488
20 65288 0.3633379498 0.001234669949878
20 66370 10.0482361599 0.0121068614748898
20 68749 10.051710916 0.0360198817440538
20 69094 10.0518361874 0.0394877652287068
20 69408 10.0527922413 0.042644341992475
20 71079 10.0521240689 0.0594414413116069
20 71093 10.0521240689 0.0595821710485715
20 72892 6.4583513881 0.0712007451957634
20 74347 4.1957323346 0.0773055357426064
20 75254 0.5876563164 0.0778385400215812
20 76962 0.5881145274 0.0788430396343804
20 80655 0.5905878431 0.0810240805389487
20 82416 0.5900214095 0.0820631082410782
20 83570 0.5901156426 0.0827441016926386
20 85116 0.5905492957 0.0836570909037908
20 87416 0.5894418186 0.0850128070865708
20 90984 1.5912191012 0.0906902768396524
20 91088 3.2324197134 0.091026448489846
20 91227 4.0126812611 0.0915842111851389
20 91346 5.1608783007 0.0921983557029222
20 91508 5.5025614395 0.0930897706561212
20 91707 5.3017757277 0.0941448240259335
20 92366 2.4694493815 0.095772191168342
20 92527 0.7741229426 0.0958968249621006
20 92891 0.3370408076 0.096019507816067
20 95093 0.3415255752 0.0967715471326574
20 96931 0.369081028 0.0974499180621214
20 97122 0.3898401788 0.0975243775362722
20 97394 0.4183862936 0.0976381786081314
20 98930 0.4777666028 0.0983720281100322
20 100272 0.4273585241 0.0989455432493744
20 100505 0.3523615634 0.0990276434936466
20 100699 0.2398615568 0.0990741766356658
20 101362 0.2003561247 0.0992070127463419
20 101905 0.1790778991 0.0993042520455532
20 102181 0.1614560717 0.0993488139213424
20 102799 0.1554960424 0.0994449104755456
20 103517 0.1548470571 0.0995560906625434
20 107201 0.1549620796 0.100126970963790
20 108187 0.1553509108 0.100280146961839
20 108328 0.1556876121 0.100302098915145
20 109272 0.1563383116 0.100449682281295
20 109377 0.1568722032 0.100466153862631
20 121976 0.1571019321 0.102445481105159
20 122508 0.1573717636 0.102529202883394
20 124302 0.1617015123 0.102819295396460
